Deutschland,x̄ Lufttemperatur in C,x̄ Niederschlag in mm
Baden-Württemberg,"7,9","999,7"
Bayern,"7,3","1001,1"
Berlin,"8,1","747,8"
Brandenburg,"8,1","750,6"
Bremen,"8,1",870
Hamburg,"8,1","774,6"
Hessen,"7,9","801,3"
Mecklenburg-Vorpommern,"7,7","725,1"
Niedersachsen,"8,1","774,8"
Nordrhein-Westfalen,"8,4","834,5"
Rheinland-Pfalz,"7,7","861,5"
Saarland,"7,5","986,8"
Sachsen,8,"750,8"
Sachsen-Anhalt,"7,6","791,4"
Schleswig-Holstein,"8,7","958,3"
Thüringen,"7,2","842,4"
insgesamt,"7,9","868,5"